,Timestamp,Do you find happiness more in the relationships with other people or by the job/responsibilities you have?,How would you describe the area you grew up in?,Do you enjoy receiving more than giving?,Do you practice a religion?,How do you relate to others?,How much should the government provide assistance to the poor?,How involved are you in your local community?,How close are you with your immediate family?,Do you find your work fulfilling?,Would you call yourself the leader of your social circle?,Do you find happiness more in the relationships with other people or by the job/responsibilities you have?.1,How would you describe the area you grew up in?.1,Do you enjoy receiving more than giving?.1,Do you practice a religion?.1,How do you relate to others?.1,How much should the government provide assistance to the poor?.1,How involved are you in your local community?.1,How close are you with your immediate family?.1,Do you find your work fulfilling?.1,Would you call yourself the leader of your social circle?.1,Trust Level
0,2/28/2020 18:16:34,0,1,0,1,2,0,1,0,2,0,1,1,0,1,2,2,0,1,2,0,1
1,2/28/2020 18:37:39,0,1,1,1,1,1,1,0,0,0,1,0,0,1,2,2,1,2,2,1,1
2,3/2/2020 13:01:00,0,1,0,2,1,0,1,1,2,0,1,1,0,0,2,2,2,1,0,1,1
3,3/3/2020 13:15:17,0,0,1,1,1,0,0,1,2,0,1,0,0,1,1,1,0,2,0,0,1
4,3/3/2020 13:21:17,1,1,0,1,1,0,1,1,2,1,1,1,0,1,1,1,0,1,1,0,1
5,3/3/2020 14:44:54,1,1,1,0,2,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1
6,3/3/2020 15:09:13,1,0,0,1,1,0,1,0,2,1,1,1,0,2,1,1,2,1,2,0,1
7,3/3/2020 16:04:35,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,2,1,1,0,0,1
8,3/3/2020 16:05:25,1,1,0,0,1,0,1,0,2,1,1,1,1,0,2,1,2,1,2,1,1
9,3/3/2020 16:09:22,0,1,1,0,1,1,0,0,0,0,0,1,0,2,2,2,2,1,2,1,1
10,3/3/2020 16:19:23,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,2,0,2,1,0,1
11,2/28/2020 18:16:34,0,1,0,1,2,0,1,0,2,0,0,2,0,0,0,1,0,2,2,0,0
12,2/28/2020 18:37:39,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,2,2,2,0,0
13,3/2/2020 13:01:00,0,1,0,2,1,0,1,1,2,0,1,1,0,1,0,0,1,2,0,0,0
14,3/3/2020 13:15:17,0,0,1,1,1,0,0,1,2,0,1,0,1,1,2,1,0,1,0,0,0
15,3/3/2020 13:21:17,1,1,0,1,1,0,1,1,2,1,1,1,0,0,2,1,2,1,0,0,0
16,3/3/2020 14:44:54,1,1,1,0,2,1,0,0,0,0,0,1,0,2,1,1,2,1,2,0,0
17,3/3/2020 15:09:13,1,0,0,1,1,0,1,0,2,1,0,1,0,0,0,1,0,2,0,0,0
18,3/3/2020 16:04:35,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
19,3/3/2020 16:05:25,1,1,0,0,1,0,1,0,2,1,1,1,1,0,1,1,0,2,0,0,0
20,3/3/2020 16:09:22,0,1,1,0,1,1,0,0,0,0,1,1,0,0,2,1,1,1,2,1,0
21,3/3/2020 16:19:23,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,2,0,1,1,0,0
