text,suicidal_ideation
Can someone just say goodbye? I'm going to hang myself soon,0.0
I'm gonna probably attempt to kill myself sometime during college,1.0
"RT @File411: Again our own American media didn’t pick this up
I truly hate myself for once again tweeting a video from Ruptly
I. TOLD. YOU.…",0.0
"RT @IPBES: ""The #coronavirus pandemic is a wake-up call from nature.

""We cannot go back to business as usual. We must rebuild by working w…",0.0
What’s it like to not want to die every single day?,1.0
"PSA: What's wrong with posting a general ""People care about you, please don't kill yourself"" message?",0.0
Have you ever been so depressed you can't even cry anymore because you don't feel like you deserve to,1.0
RT @DubiousCA: @LGJanetAustin The fungus *contributed* to the famine. The British deliberately exporting tonnes of food from Ireland during…,0.0
"RT @omegalvlgrey: The only time it’s biphobia is when bi people are excluded from or treated as ‘lesser LGBTs’ because of it, like ‘bisexua…",0.0
@farmgirlphd @CIHR_IRSC Perhaps postdocs could have been mobilized too; it's too bad postdocs can't be included in… https://t.co/94JOT3eprU,0.0
Failed suicide attempt,1.0
The only thing keeping me from killing myself is my wife and daughter. I am beginning to resent them for it.,1.0
"RT @NetworkingTT: Dive into the top 8️⃣ choices in the #NetworkAutomation enterprise market from @ansible, BeyondEdge Networks, @bmcnetwork…",0.0
I wish euthanasia was an option to suicidal people,1.0
"I've meticulously planned everything to the last detail, but whenever they ask me if I have a plan I say no",0.0
RT @NBCNightlyNews: CNN anchor Chris Cuomo says he lost 13 pounds in 3 days from coronavirus. https://t.co/jDmINd94z8,0.0
Suicide prevention at the Golden Gate Bridge actually worked,0.0
I am about to kill myself,1.0
Thank you,0.0
"RT @EtinosaVivian: Apart from sexual activities, what else can make you moan?",0.0
Is it possible that I'm just too lazy for life?,1.0
Its amazing how people act so attention-seekingly on social media when people die. Its one of the reasons i wont kill myself.,1.0
@adam_tooze This was my perspective from a few days ago https://t.co/TWxw90DKTB,0.0
"@Flossopher09 A strong spine in them actually, which can sustain the pressure from the top.",0.0
Games aren’t fun anymore. Books aren’t fun anymore,0.0
Anybody else ever feel like you've probably got a few conditions that are un-diagnosed?,0.0
My sister told me to kill myself,0.0
"RT @mexicoworldcup: Final details of Liga MX’s FIFA 20 tournament being worked out. 

Hearing it will: 

- mirror 2020 Clausura season (reg…",0.0
RT @CBCToronto: 3M faces pressure from Trump order to stop exporting N95 masks to Canada https://t.co/9PP49sN98B https://t.co/5AlkFmNcOP,0.0
"RT @michaeljackson: As music and musical performances shared online continue to unite the world during the COVID-19 pandemic, it seems fitt…",0.0
So how long until it “gets better”?,1.0
@aprilbrown99 @TheCollectiveQ Beautiful Loving Compassion expressed for the Blessed Precious Ones being rescued fro… https://t.co/j8ZRcokTP2,0.0
Just found out my friend took his own life. He was 15.,0.0
RT @BipolarDisorder: Are you treated differently or do you experience stigma from your local mental health center or psychiatrist/therapist…,0.0
RT @rozietoez: This is a periodic reminder to @JoeBiden and the @DNC that rapists should drop out or be ejected from the Democratic party p…,0.0
"@handongstrap (taylor is my emotional support white girl)
Never wanted this, never wanna see you hurt
Every little… https://t.co/kivygi7kZ0",0.0
Fucking Scumbag Brain,0.0
Oof. Love this for me. Stress from bills and delayed checks when I'm trying so hard to not spiral and keep it toget… https://t.co/oy722I7qv8,0.0
woken up from my nap.. by people calling me because i forgot i said id help out with their orgo test 💀,0.0
"RT @momtransparent1: In all seriousness, I hope my kids walk away from this with fond memories of that one year their mom let them play wha…",0.0
RT @The_UnSilent_: The send off for Captain Brett Crozier who was relieved from duty for TRYING TO SAVE THE LIVES OF HIS CREW https://t.co/…,0.0
"9 days in quarantined isolation. A Shakespearean shudder and the madness has begun to foment in my mind.

Stay well… https://t.co/L16GRYrE59",0.0
For real though,0.0
Do you guys fantasize about your suicide?,1.0
Progress is progress,0.0
In few hours it’s over,1.0
"I was contemplating on ending myself today, but I found the motivation to keep going in the most unusual and shallow circumstances.",1.0
It'd be so great to not wake up tomorrow,1.0
"I wish I was never alive. I don't want to die, I wish I never existed.",1.0
1 hour to go,0.0
I feel like the dog that at the animal shelter no one wants to adopt so they have to put it down.,1.0
The biggest lie I have ever been told was that you should treat others the way you’d want to be treated.,0.0
"RT @FrancesElaina: Safely sane
Sanely,
Safe
Already stolen
Like a feather
In the wind.
An invisible morsel,
Pieces of you
Again
Again
For a…",0.0
RT @RattyBurvil: And from a fictional nurse.. massive love and support to everyone in the NHS at the moment. #FishCustard,0.0
Does anyone else ever think to themselves “any day now I’m going to kill myself”,1.0
@jzimbabwe Nick Zentner from CWU has been streaming his all-ages generalist Washington-geology lectures live on You… https://t.co/1cq20vkMW0,0.0
"I asked last Saturday if ""Anyone there"" ? You answered. Thank you. I was half way through my suicide attempt.",1.0
"""But you are so attractive you have no reason to have social anxiety and depression.""",0.0
"RT @ecwpress: Another reminder to support indie bookstores if you're able! If you're thinking of buying a book this weekend, why not see if…",0.0
Does anyone else feels that they are not going to make it to 2019?,1.0
Told you I am not at all interested in all that food.,0.0
Does anybody else dress like a homeless person cause they stopped caring about their appearance?,1.0
RT @ugdsb: We have updated our COVID-19 school closure FAQs to answer some of the most common questions from #UGDSB students and families.…,0.0
"Heartbroken, I was convinced there had to be a better way to help patients recover from steroid-refractory #GVHD. I… https://t.co/2lOMfOgEnp",0.0
"RT @ListBuyShop: There’s so much to learn from unhappy customers. Their source of unhappiness is usually from an unsatisfactory product, se…",0.0
im so fucking depressed to the point i even forgot why im depressed....does anyone feel the same way?,1.0
"Due to all the health hazards surrounding the Rio Olympics, I figured they could use a new logo. [OC]",0.0
"@FortunateFL I remember seeing that from my own old 360, same model too. I'm sorry for your loss. https://t.co/k6gmvEyLFk",0.0
"RT @Independent: Trump 'severely mentally troubled' and must resign from coronavirus response, mental health group warns https://t.co/RtLdD…",0.0
"RT @TwydallHopper: @RamsgateFCwomen @cove_billy And this is why anybody that goes out over the weekend in the sunny weather, should be thor…",0.0
"i'm lucky enough to have a few people in my life who care so much for me that sometimes it actually hurts. i don't want them to wake up one day to find me dead. even if right now i can't live for myself, i will try for them.",1.0
I want to be dead but I'm too much of a fucking coward to follow through,1.0
"We’re selfish for wanting to die, but other people aren’t selfish for wanting us to stay alive when we have no drive or real reason to fight the temptation.",1.0
Sometimes I wish something tragic would happen in my life so I have a reason to justify my depression.,1.0
It is Likely that I’ll lose my Husband to suicide.,0.0
"RT @ChrisLyons96: If your friends haven't grasped the seriousness of the #COVID19 pandemic, share the data with them. Thanks to physical di…",0.0
"RT @URdreamingnow: Where is your unhappiness and fear coming from? 
What is producing your negative inner dialogue?
Learn to differentiate…",0.0
It's snowing in Australia at the moment and its not every day that you get to see Kangaroos hopping in the snow.,0.0
feeling old and washed up at 19,0.0
constantly flooded with memories and thoughts of every mistake in my life.,1.0
"RT @biannagolodryga: 👏👏 to this kind landlord.

“He is likely forgoing hundreds of thousands of dollars in income by canceling April rent.…",0.0
My broken antenna on my car looks like a half sunken boat.,0.0
Why are people saying that anyone under 18 can't be depressed?,0.0
RT @ShantellPalesa: Evening guys.. I'm in desperate need of your help. I ordered a phone from  this guy on Instagram and I never recieved i…,0.0
RT @Sharon_R_Nyika: Everyone carries a different GRACE...Enjoy your life without comparing it with that of others..You will suffer from hig…,0.0
@annabroges This piece got me through a really tough time a year ago. I was diagnosed with bipolar 2 and dealing wi… https://t.co/Mrogh4xtqI,0.0
RT @TuesdaysToomey: @SenToomey @GovernorTomWolf After spending years taking health care and health insurance away from millions (and trying…,0.0
757 ppl online,0.0
My last day.,1.0
"If I test positive, I’m going to kill myself.",1.0
"I don’t want to kill myself, but I still want to die.",1.0
Why are people acting like it's always irrational when somebody wants to die?,1.0
#Arkansas gov team wants #Fauci to physically come here and CONVINCE THEM that the reduced loss of life from a… https://t.co/zDfKb8lgTI,0.0
"I am never ""suicidal enough"" to be heard. I am too well-dressed, too articulate, too friendly ""too"" everything to be worthy of any support.",1.0
RT @girlthatscass: i love ordering things online because when they arrive it's like a present to me from me. 🥰,0.0
how do you even respond to a suicide hotline when they ask “how can i help you”,1.0
"RT @Pismo_B: At some point, always Drunk &amp; a Pathetic Excuse of a Human @SpeakerPelosi will fade away out of the spotlight, just like Harry…",0.0
McDonald's employee just saved my life.,0.0
@GadSaad I’ve been blocked by the lovely lady. I know it’s an emotional time at the moment but it’s possibly the ni… https://t.co/WNjHgy5P53,0.0
I’ve become the person I always feared of being,0.0
"RT @RapSheet: Essentially, the language says the signed player still needs to pass the physical. If he doesn’t pass the physical, the team…",0.0
Why is suicide so bad anyway?,1.0
"RT @rawphonegirl: @USNavy The birds are singing,  the sun is shining bright and warm. We've got seeds quietly growing in our mini nursery a…",0.0
Sometimes I wish my mom hated me so I wouldn’t feel bad about wanting to kill myself,1.0
Bye ♡,0.0
Too much of a pussy to kill myself,1.0
Life is nothing but one big daily task of the same repetitive shit year in and year out I want out this rat race I can't fake it anymore,1.0
"Growing up, other kids used to make fun of me because I looked like the original Bob the Builder. While working in the field, they gave us these hard hats so I thought I’d take a selfie for the boys back home.",0.0
Anyone else stuck with a permanent blank face with the only emotion being sadness and resentment?,1.0
Does anyone else feel suicidal almost everyday but not act on it ever?,1.0
"RT @michfoolery: ladies if your man is
-tall
-funny 
-has a nice laugh
-a manifestation of the spiral known as the distortion 
that's not y…",0.0
So inspiring,0.0
Cool new card from Activision Blizzard's Hearthstone!,0.0
My Uber driver offered a conversation “menu” for his ride,0.0
...,0.0
"RT @badtweets4u: Most politicians support policy because it's popular with a segment of voters they think they can win, not because they ca…",0.0
Does anyone else feel like they HAVE to attempt suicide or at least be checked into a psychiatric hospital to be taken seriously?,1.0
I swear to god if one more person tells me to volunteer after opening up about my suicidal thoughts I’m going to shoot myself and hope they get splattered,1.0
